Year,Entrant,Chassis,Engine,RaceNo,Country,Result
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,1,USA,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,2,BRA,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,3,SMR,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,4,MON,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,5,CAN,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,6,MEX,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,7,FRA,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,8,GBR,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,9,GER,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,10,HUN,-
1991,Team 7UP Jordan,Jordan 191,Ford HBB 4 3.5 V8,11,BEL,Ret
1991,Camel Benetton Ford,Benetton B191,Ford HBA 5 3.5 V8,12,ITA,5
1991,Camel Benetton Ford,Benetton B191,Ford HBA 5 3.5 V8,13,POR,6
1991,Camel Benetton Ford,Benetton B191,Ford HBA 5 3.5 V8,15,ESP,6
1991,Camel Benetton Ford,Benetton B191,Ford HBA 5 3.5 V8,15,JPN,Ret
1991,Camel Benetton Ford,Benetton B191,Ford HBA 5 3.5 V8,16,AUS,Ret
1992,Camel Benetton Ford,Benetton B191B,Ford HB 5 3.5 V8,1,RSA,4
1992,Camel Benetton Ford,Benetton B191B,Ford HB 5 3.5 V8,2,MEX,3
1992,Camel Benetton Ford,Benetton B191B,Ford HB 5 3.5 V8,3,BRA,3
1992,Camel Benetton Ford,Benetton B192,Ford HB 5 3.5 V8,4,ESP,2
1992,Camel Benetton Ford,Benetton B192,Ford HB 5 3.5 V8,5,SMR,Ret
1992,Camel Benetton Ford,Benetton B192,Ford HB 5 3.5 V8,6,MON,4
